Time,mAU
14.44352,-0.07557869
14.44837333,-0.075638294
14.45322667,-0.075519085
14.45808,-0.075101852
14.46293333,-0.074326992
14.46778667,-0.073254108
14.47264,-0.071942806
14.47749333,-0.070631504
14.48234667,-0.06955862
14.4872,-0.068843365
14.49205333,-0.068604946
14.49690667,-0.068962574
14.50176,-0.06967783
14.50661333,-0.070393085
14.51146667,-0.071108341
14.51632,-0.071465969
14.52117333,-0.071406364
14.52602667,-0.070989132
14.53088,-0.070571899
14.53573333,-0.070095062
14.54058667,-0.069856644
14.54544,-0.069856644
14.55029333,-0.070035458
14.55514667,-0.070512295
14.56,-0.070750713
14.56485333,-0.071167946
14.56970667,-0.071406364
14.57456,-0.071525574
14.57941333,-0.071644783
14.58426667,-0.071644783
14.58912,-0.071525574
14.59397333,-0.071167946
14.59882667,-0.070691109
14.60368,-0.070095062
14.60853333,-0.069618225
14.61338667,-0.069141388
14.61824,-0.068664551
14.62309333,-0.068485737
14.62794667,-0.068306923
14.6328,-0.0680089
14.63765333,-0.067591667
14.64250667,-0.067055225
14.64736,-0.066399574
14.65221333,-0.065922737
14.65706667,-0.065624714
14.66192,-0.065505505
14.66677333,-0.065684319
14.67162667,-0.066161156
14.67648,-0.066637993
14.68133333,-0.067234039
14.68618667,-0.067710876
14.69104,-0.068187714
14.69589333,-0.068604946
14.70074667,-0.068843365
14.7056,-0.068962574
14.71045333,-0.06878376
14.71530667,-0.068306923
14.72016,-0.067710876
14.72501333,-0.066936016
14.72986667,-0.066399574
14.73472,-0.065982342
14.73957333,-0.066041946
14.74442667,-0.06633997
14.74928,-0.066876411
14.75413333,-0.067293644
14.75898667,-0.067353249
14.76384,-0.067353249
14.76869333,-0.066876411
14.77354667,-0.066280365
14.7784,-0.065743923
14.78325333,-0.0654459
14.78810667,-0.065684319
14.79296,-0.06622076
14.79781333,-0.067174435
14.80266667,-0.068306923
14.80752,-0.069499016
14.81237333,-0.070512295
14.81722667,-0.071227551
14.82208,-0.071704388
14.82693333,-0.072002411
14.83178667,-0.07212162
14.83664,-0.07212162
14.84149333,-0.071883202
14.84634667,-0.071465969
14.8512,-0.070810318
14.85605333,-0.06967783
14.86090667,-0.068306923
14.86576,-0.066757202
14.87061333,-0.065386295
14.87546667,-0.064373016
14.88032,-0.063836575
14.88517333,-0.063836575
14.89002667,-0.064313412
14.89488,-0.064909458
14.89973333,-0.0654459
14.90458667,-0.065624714
14.90944,-0.065386295
14.91429333,-0.064730644
14.91914667,-0.063717365
14.924,-0.062704086
14.92885333,-0.061810017
14.93370667,-0.061392784
14.93856,-0.061452389
14.94341333,-0.061929226
14.94826667,-0.062704086
14.95312,-0.063836575
14.95797333,-0.064969063
14.96282667,-0.065922737
14.96768,-0.066697598
14.97253333,-0.067055225
14.97738667,-0.06711483
14.98224,-0.067055225
14.98709333,-0.067234039
14.99194667,-0.067591667
14.9968,-0.068187714
15.00165333,-0.06878376
15.00650667,-0.069200993
15.01136,-0.069200993
15.01621333,-0.068664551
15.02106667,-0.06788969
15.02592,-0.06711483
15.03077333,-0.066518784
15.03562667,-0.066459179
15.04048,-0.066757202
15.04533333,-0.067353249
15.05018667,-0.06788969
15.05504,-0.068306923
15.05989333,-0.068545341
15.06474667,-0.068366528
15.0696,-0.067949295
15.07445333,-0.067293644
15.07930667,-0.066518784
15.08416,-0.065684319
15.08901333,-0.064730644
15.09386667,-0.063836575
15.09872,-0.063061714
15.10357333,-0.062465668
15.10842667,-0.06210804
15.11328,-0.061988831
15.11813333,-0.061988831
15.12298667,-0.06210804
15.12784,-0.062227249
15.13269333,-0.062227249
15.13754667,-0.062346458
15.1424,-0.062406063
15.14725333,-0.062584877
15.15210667,-0.062823296
15.15696,-0.063240528
15.16181333,-0.063419342
15.16666667,-0.063598156
15.17152,-0.063419342
15.17637333,-0.06300211
15.18122667,-0.062465668
15.18608,-0.061690807
15.19093333,-0.060796738
15.19578667,-0.060081482
15.20064,-0.059485435
15.20549333,-0.059187412
15.21034667,-0.059306622
15.2152,-0.059962273
15.22005333,-0.060737133
15.22490667,-0.061631203
15.22976,-0.062286854
15.23461333,-0.062704086
15.23946667,-0.062644482
15.24432,-0.062167645
15.24917333,-0.061392784
15.25402667,-0.060617924
15.25888,-0.059902668
15.26373333,-0.059485435
15.26858667,-0.059366226
15.27344,-0.05954504
15.27829333,-0.059783459
15.28314667,-0.060081482
15.288,-0.060200691
15.29285333,-0.060319901
15.29770667,-0.060379505
15.30256,-0.060260296
15.30741333,-0.059962273
15.31226667,-0.05954504
15.31712,-0.058889389
15.32197333,-0.058114529
15.32682667,-0.057399273
15.33168,-0.056564808
15.33653333,-0.055909157
15.34138667,-0.05543232
15.34624,-0.055134296
15.35109333,-0.055074692
15.35594667,-0.05543232
15.3608,-0.056147575
15.36565333,-0.057220459
15.37050667,-0.058412552
15.37536,-0.059664249
15.38021333,-0.060796738
15.38506667,-0.061511993
15.38992,-0.061750412
15.39477333,-0.061511993
15.39962667,-0.060915947
15.40448,-0.060200691
15.40933333,-0.059425831
15.41418667,-0.05877018
15.41904,-0.058233738
15.42389333,-0.057816505
15.42874667,-0.057458878
15.4336,-0.057160854
15.43845333,-0.056922436
15.44330667,-0.056684017
15.44816,-0.056385994
15.45301333,-0.056087971
15.45786667,-0.055968761
15.46272,-0.056028366
15.46757333,-0.056445599
15.47242667,-0.057399273
15.47728,-0.05877018
15.48213333,-0.060558319
15.48698667,-0.062286854
15.49184,-0.063717365
15.49669333,-0.064611435
15.50154667,-0.065147877
15.5064,-0.065147877
15.51125333,-0.064969063
15.51610667,-0.064790249
15.52096,-0.064492226
15.52581333,-0.064134598
15.53066667,-0.063538551
15.53552,-0.06300211
15.54037333,-0.062346458
15.54522667,-0.062048435
15.55008,-0.061810017
15.55493333,-0.061929226
15.55978667,-0.062048435
15.56464,-0.062286854
15.56949333,-0.062465668
15.57434667,-0.062525272
15.5792,-0.062644482
15.58405333,-0.06300211
15.58890667,-0.063538551
15.59376,-0.064253807
15.59861333,-0.064909458
15.60346667,-0.065565109
15.60832,-0.065803528
15.61317333,-0.065922737
15.61802667,-0.065863132
15.62288,-0.065863132
15.62773333,-0.066161156
15.63258667,-0.066876411
15.63744,-0.0680089
15.64229333,-0.069200993
15.64714667,-0.070273876
15.652,-0.070929527
15.65685333,-0.071048737
15.66170667,-0.070869923
15.66656,-0.07045269
15.67141333,-0.070214272
15.67626667,-0.070333481
15.68112,-0.070869923
15.68597333,-0.071465969
15.69082667,-0.071883202
15.69568,-0.071883202
15.70053333,-0.071287155
15.70538667,-0.070333481
15.71024,-0.069260597
15.71509333,-0.068426132
15.71994667,-0.068068504
15.7248,-0.068426132
15.72965333,-0.069141388
15.73450667,-0.070095062
15.73936,-0.071048737
15.74421333,-0.072002411
15.74906667,-0.072717667
15.75392,-0.072956085
15.75877333,-0.072777271
15.76362667,-0.07212162
15.76848,-0.071167946
15.77333333,-0.070154667
15.77818667,-0.069320202
15.78304,-0.068962574
15.78789333,-0.069141388
15.79274667,-0.069618225
15.7976,-0.070512295
15.80245333,-0.071465969
15.80730667,-0.072181225
15.81216,-0.072658062
15.81701333,-0.072717667
15.82186667,-0.072538853
15.82672,-0.07212162
15.83157333,-0.071465969
15.83642667,-0.070750713
15.84128,-0.069975853
15.84613333,-0.069260597
15.85098667,-0.06878376
15.85584,-0.068604946
15.86069333,-0.068724155
15.86554667,-0.069081783
15.8704,-0.069618225
15.87525333,-0.070333481
15.88010667,-0.070989132
15.88496,-0.071585178
15.88981333,-0.071942806
15.89466667,-0.07212162
15.89952,-0.072300434
15.90437333,-0.072360039
15.90922667,-0.072419643
15.91408,-0.072240829
15.91893333,-0.07212162
15.92378667,-0.071704388
15.92864,-0.071167946
15.93349333,-0.070571899
15.93834667,-0.069975853
15.9432,-0.069618225
15.94805333,-0.06955862
15.95290667,-0.06967783
15.95776,-0.069916248
15.96261333,-0.070154667
15.96746667,-0.070273876
15.97232,-0.070154667
15.97717333,-0.069916248
15.98202667,-0.069618225
15.98688,-0.069320202
15.99173333,-0.069022179
15.99658667,-0.068843365
16.00144,-0.068545341
16.00629333,-0.068306923
16.01114667,-0.06788969
16.016,-0.067591667
16.02085333,-0.067234039
16.02570667,-0.066995621
16.03056,-0.066757202
16.03541333,-0.066578388
16.04026667,-0.066578388
16.04512,-0.066697598
16.04997333,-0.067234039
16.05482667,-0.068068504
16.05968,-0.069320202
16.06453333,-0.070810318
16.06938667,-0.072300434
16.07424,-0.073552132
16.07909333,-0.074326992
16.08394667,-0.074744225
16.0888,-0.07468462
16.09365333,-0.074565411
16.09850667,-0.074565411
16.10336,-0.074744225
16.10821333,-0.074923038
16.11306667,-0.075161457
16.11792,-0.075161457
16.12277333,-0.074863434
16.12762667,-0.074267387
16.13248,-0.073671341
16.13733333,-0.073373318
16.14218667,-0.073313713
16.14704,-0.073730946
16.15189333,-0.074207783
16.15674667,-0.074863434
16.1616,-0.075399876
16.16645333,-0.075638294
16.17130667,-0.07557869
16.17616,-0.075399876
16.18101333,-0.074863434
16.18586667,-0.074267387
16.19072,-0.073671341
16.19557333,-0.073194504
16.20042667,-0.072717667
16.20528,-0.072419643
16.21013333,-0.072181225
16.21498667,-0.072240829
16.21984,-0.072300434
16.22469333,-0.072717667
16.22954667,-0.073254108
16.2344,-0.073730946
16.23925333,-0.074088573
16.24410667,-0.074207783
16.24896,-0.074148178
16.25381333,-0.073969364
16.25866667,-0.073671341
16.26352,-0.073552132
